,상장주식수,등락률,거래량_x,거래대금_x,온실가스 배출량(tCO2-eq),에너지 사용량(TJ),자산총계,자본금,자본총계,매출액,영업이익,순이익,종가,시가총액,거래량_y,거래대금_y,기준가&종가 평균,온실가스/매출액,상장기간,회사명,업종,지역,시장구분,ESG등급,ESG여부
503,0.0010693035337776,0.0453040788895607,0.0002695638423995,0.0009333435964844,0.0002875269443769,0.0010788078259279,0.0126549039534658,0.0103571053451093,0.0105160900616304,0.0250233466764488,0.0541842851831259,0.0595528713656346,0.0431612318840579,0.0006945055481428,0.0002112339152391,0.0003580557476635,0.0357971014492753,0.0,0.3716252643802098,42,44,8,2,3,실제
504,0.0014663346124323,0.049179828701428,0.0003512910480486,0.0029725635780691,0.0002975109318054,0.0010526865710628,0.0126549039534658,0.0103571053451093,0.0096010908574968,0.0250233466764488,0.0543995274868127,0.0641499433444111,0.1127717391304347,0.0024493077704468,0.0003809900326349,0.0016834130841121,0.0836853002070393,0.0004141812453044,0.3716252643802098,176,44,1,2,0,실제
505,0.0074363753508364,0.033328838449526,0.0017029763483603,0.0028636062484331,0.0009670261602539,0.0039338609826816,0.002594401225701,0.004893971250251,0.0028012458450345,0.0012323831062255,0.0527895387733957,0.0584109927671281,0.0206521739130434,0.0021721215141898,0.0015192724810059,0.0012311161682242,0.0194616977225672,0.0,0.3716252643802098,393,121,1,2,3,실제
506,0.0032705644508758,0.039788421469305,0.0047401400033327,0.0015625242539322,0.000190323477096,0.0007104981323302,0.0016429833356375,0.0045956847736155,0.0022847777410307,0.0020036025485631,0.0527399529947571,0.0575462431609654,0.0039990942028985,0.0001855489376155,0.0009434026362814,0.0001475739299065,0.0033581780538302,0.0071074456799173,0.3716252643802098,1440,152,16,2,2,실제
507,0.0062638772413409,0.0461653566255312,0.0047756576029901,0.0486619697720512,0.0024756852903911,0.0099286889742183,0.0086896844536204,0.0433390671902381,0.0100554560674359,0.0027665664529129,0.0518790578992606,0.0577435575423772,0.1535326086956521,0.0136860121587118,0.0055239472790064,0.0334600934579439,0.1014492753623188,0.031173615755285,0.3732841205988471,175,48,1,2,0,실제
508,0.009749877121394,0.0204227220726344,0.0178372641669071,0.0031842830636199,0.0007700819317328,0.0012107201629966,0.0159145341732814,0.0930911784596163,0.0116040269572631,0.0845727625170339,0.0565337913072883,0.064789890928555,0.0016077898550724,0.0002190245085635,0.0157194533400055,0.0009832096214953,0.0018571428571428,0.0,0.3732841205988471,1555,71,8,2,2,실제
509,0.00181461630548,0.1019265651982896,0.0093877961602304,0.0024461681314091,0.0011932549898892,0.0045111407151999,0.0009864150031853,0.0022372637432902,0.0012512772906747,0.0013240851616066,0.0525490811006613,0.0579881153548212,0.0048641304347826,0.0001267656662245,0.0050571574588325,0.0009406522056074,0.0024720496894409,0.0,0.3732841205988471,2281,147,2,2,5,실제
510,0.0053754992623933,0.0445384986798091,0.011351840641672,0.0027432729857651,0.0002801198961258,0.0010722775122116,0.0046950727568645,0.0097415295854117,0.0054056694646685,0.0072377538117969,0.053201226738822,0.0587918929298257,0.0029981884057971,0.0002275533164483,0.0013366648300561,0.0001570714345794,0.0026231884057971,0.0021617632199627,0.3743209057354953,489,116,10,2,4,실제
511,0.0051335950946391,0.0195875436619963,0.0060582533640959,0.001851652122242,0.0005708977483881,0.0022255309145051,0.0074058340531175,0.0291369455096253,0.0042315173735162,0.019038727459634,0.0571641755334784,0.0603526003734179,0.0027173913043478,0.0001891765658359,0.0033083481613168,0.0003501484252336,0.0030062111801242,0.0,0.3743209057354953,1317,145,8,2,4,실제
512,0.0024887315208836,0.0295444362763222,0.0031591878415501,0.0037094928310987,0.0002801198961258,0.0010722775122116,0.0046950727568645,0.0097415295854117,0.0054056694646685,0.0072377538117969,0.053201226738822,0.0587918929298257,0.0140398550724637,0.0005047395727053,0.0018877796716233,0.0010308562149532,0.0113043478260869,0.0021617632199627,0.3743209057354953,1711,116,1,2,4,실제
513,0.0003162846736287,0.0417545706443488,8.31499281876759e-05,0.0002142719893434,0.0008850332416564,0.0026708983099548,0.0069231512179123,0.0189783906995428,0.0102364044473209,0.0002415508336003,0.053919768401653,0.0591405263161739,0.031838768115942,0.0001745266441526,2.6756471497695077e-05,3.349303738317757e-05,0.0275569358178053,0.0,0.3787998175258159,234,34,1,2,3,실제
514,0.0024218895797936,0.0415805751421325,0.001057091868473,0.0003128183970587,0.0011932549898892,0.0045111407151999,0.0009864150031853,0.0049806931486705,0.0012512772906747,0.0013240851616066,0.0525490811006613,0.0579881153548212,0.003365036231884,0.0001155697271712,0.0002452062068061,3.2439892523364486e-05,0.0029026915113871,0.0,0.3797536598515323,1299,115,1,2,2,실제
