,Unnamed: 0	,rcept_no,new_corp_code,dcm_no
245,245,20210317000934,00191287,7885583
246,246,20210319001327,00185505,7901112
247,247,20210323000375,00652423,7908842
248,248,20210311001074,00144650,7868609
249,249,20210419000439,00186799,8033792
250,250,20210316000605,00356802,7878749
251,251,20210318000429,00210856,7889145
252,252,20210318001061,01108099,7892654
253,253,20210322001161,00573579,7907490
254,254,20210701000250,00140177,8128838
255,255,20210317001286,00366137,7887473
256,256,20210323000841,00349097,7911141
257,257,20210323000513,00542074,7909516
258,258,20210630000972,00389970,8128037
259,259,20201229000327,00168401,7738615
260,260,20210315001021,00117629,7876357
261,261,20210319001358,00484682,7901271
262,262,20210707000520,00492894,8136204
263,263,20210318001321,00173351,7894333
264,264,20200928000403,00134316,7495995
265,265,20210323001172,00138297,7913091
266,266,20210319000749,00371740,7898015
267,267,20210318000062,00127802,7887908
268,268,20210416000120,00573269,8031156
269,269,20210316000712,00223513,7879215
270,270,20210319000854,00220109,7898525
271,271,20210310000273,00123107,7861897
272,272,20210318001196,00441304,7893523
273,273,20210323000884,00985686,7911393
274,274,20210325000002,00219440,7916189
275,275,20210316001139,00141389,7880914
276,276,20210316000817,00410915,7879587
277,277,20210707000536,00392691,8136248
278,278,20210323000575,00104999,7909794
279,279,20210317001211,00178851,7887159
280,280,20210319000307,01089855,7896100
281,281,20210303000280,00923792,7850206
282,282,20210319000002,00133812,7895241
283,283,20210317000288,00479787,7882457
284,284,20210329000647,00136776,7925536
285,285,20210318000858,00563837,7891431
286,286,20210319001209,00172945,7900370
287,287,20210319001097,00158219,7899771
288,288,20210318001311,00115977,7894276
289,289,20210322000506,00152783,7903671
290,290,20210322000580,00359623,7904016
291,291,20210817000623,00400857,8178377
292,292,20210318000935,00372226,7891915
293,293,20210323001007,00532855,7912047
294,294,20210218001086,00134477,7810110
295,295,20210603000195,00620558,8098044
296,296,20210330000968,00528515,7930652
297,297,20210318000688,00174527,7890473
298,298,20210323000609,00351092,7909957
299,299,20210311001051,00142661,7868507
300,300,20210311000638,00133991,7866886
301,301,20210317000661,00152039,7884041
302,302,20210318001420,00146427,7895013
303,303,20210319001037,00763358,7899454
304,304,20210318001225,00155531,7893704
305,305,20210319000800,00569646,7898310
306,306,20210618000411,00608802,8114450
307,307,20210322000476,00172228,7903497
308,308,20210818000238,00124090,8185173
309,309,20210318000635,00855093,7890165
310,310,20210318000733,00128412,7890691
311,311,20210319000859,00243979,7898563
312,312,20210329001068,01144569,7926935
313,313,20210322000601,00616962,7903940
314,314,20210326001259,00145686,7923112
315,315,20210323000882,00378628,7911355
316,316,20210315000552,00128546,7874654
317,317,20200629000177,00490090,7391130
318,318,20210311001031,00115676,7868419
319,319,20210319001375,00180865,7901373
320,320,20210322000753,00370006,7904970
321,321,20210322000357,00300557,7902884
322,322,20210322000424,00176835,7903258
323,323,20210323000543,00141556,7909648
324,324,20210322000475,00148948,7903488
325,325,20210317001280,00121507,7887609
326,326,20210817001693,00325112,8182137
327,327,20210318001263,00476498,7893926
328,328,20210319000370,00549891,7896384
329,329,20210311000965,00126478,7868162
330,330,20210826000406,00656021,8194699
331,331,20210317000792,01096341,7884749
332,332,20210319001017,00134510,7899355
333,333,20210318001289,00823429,7894112
334,334,20210319000003,00695969,7895249
335,335,20210311001209,00138729,7869186
336,336,20210315000915,00120526,7875901
337,337,20210406000396,00501970,7972564
338,338,20210322001090,00132211,7906904
339,339,20210317000302,00250997,7882521
340,340,20210426000388,00204226,8042402
341,341,20210319000116,00250614,7895473
342,342,20210322001004,00405959,7906373
343,343,20210308000592,00160375,7858452
344,344,20210318001155,00121941,7893239
345,345,20210317000510,00124726,7883322
346,346,20210322000825,00445160,7905400
347,347,20210323000920,00408956,7911590
348,348,20210311001060,00260383,7868550
349,349,20210315000793,00181299,7875462
350,350,20210318001200,00939331,7893553
351,351,20210323001022,00363510,7912145
352,352,20210322001125,00288495,7907195
353,353,20210317001103,00264228,7886508
354,354,20210319001221,00317210,7900459
355,355,20210311001124,00201742,7868776
356,356,20210318000734,00147082,7890700
357,357,20210713000094,00188715,8141116
358,358,20210405002921,00103592,7970529
359,359,20210311000698,00173944,7866301
360,360,20210318000420,00138446,7888978
361,361,20210330000569,00256043,7929315
362,362,20210331002863,00406046,7942692
363,363,20210315000907,00414850,7875879
364,364,20210322000395,00132992,7903081
365,365,20210504000182,00390860,8055517
366,366,20210315001013,00105475,7876303
367,367,20210318001309,00974927,7894258
