corp_code,corp_name,stock_code,modify_date,ss,,,new_corp_code,,,
113173,대한은박지,7480,20170630,6,00,0,00113173,,,
441872,인스프리트,73130,20170630,6,00,0,00441872,,,
480844,하이럭스,79340,20170630,6,00,0,00480844,,,
262044,트리니티,53070,20170630,6,00,0,00262044,,,
101442,카라반케이디이,32570,20170630,6,00,0,00101442,,,
295875,더존디지털웨어,45380,20170630,6,00,0,00295875,,,
441298,디보스,80140,20170630,6,00,0,00441298,,,
263885,포네이처,45290,20170630,6,00,0,00263885,,,
475532,테이크시스템즈,76090,20170630,6,00,0,00475532,,,
130204,폴켐,33190,20170630,6,00,0,00130204,,,
128731,유리이에스,7050,20170630,6,00,0,00128731,,,
325981,에프아이투어,47370,20170630,6,00,0,00325981,,,
540021,모빌탑,85680,20170630,6,00,0,00540021,,,
362089,올리브나인,52970,20170630,6,00,0,00362089,,,
228916,디패션,30420,20170630,6,00,0,00228916,,,
114215,알덱스,25970,20170630,6,00,0,00114215,,,
264103,에이엠에스,44770,20170630,6,00,0,00264103,,,
109648,오라바이오틱스,16160,20170630,6,00,0,00109648,,,
261212,시노펙스그린테크,37320,20170630,6,00,0,00261212,,,
348007,야호커뮤니케이션,59720,20170630,6,00,0,00348007,,,
275808,브이케이,48760,20170630,6,00,0,00275808,,,
375579,팬택앤큐리텔,63350,20170630,6,00,0,00375579,,,
197324,팬텀엔터테인먼트그룹,25460,20170630,6,00,0,00197324,,,
339063,삼성수산,52560,20170630,6,00,0,00339063,,,
538497,동북아15호선박투자회사,84240,20170630,6,00,0,00538497,,,
329084,비엔디,47940,20170630,6,00,0,00329084,,,
225140,쌈지,33260,20170630,6,00,0,00225140,,,
101947,브이오산업,18890,20170630,6,00,0,00101947,,,
287724,코디콤,41800,20170630,6,00,0,00287724,,,
347840,제네시스엔알디,52640,20170630,6,00,0,00347840,,,
504357,동북아6호선박투자회사,80410,20170630,6,00,0,00504357,,,
269339,인네트,41450,20170630,6,00,0,00269339,,,
634959,한국월드와이드아시아태평양특별자산1호투자회사,98150,20170630,6,00,0,00634959,,,
267094,헤파호프코리아,39350,20170630,6,00,0,00267094,,,
142698,휴리프,6210,20170630,6,00,0,00142698,,,
350057,하이스마텍,57100,20170630,6,00,0,00350057,,,
721981,삼성디지털이미징,108070,20170630,6,00,0,00721981,,,
248691,씨제이인터넷,37150,20170630,6,00,0,00248691,,,
335562,엠넷미디어,56200,20170630,6,00,0,00335562,,,
369675,온미디어,45710,20170630,6,00,0,00369675,,,
265078,유니텍전자,39040,20170630,6,00,0,00265078,,,
267809,위더스기술금융,19430,20170630,6,00,0,00267809,,,
314000,클라스타,37550,20170630,6,00,0,00314000,,,
355292,아시아미디어홀딩스,52810,20170630,6,00,0,00355292,,,
386557,아이스테이션,56010,20170630,6,00,0,00386557,,,
548865,동북아21호선박투자회사,88010,20170630,6,00,0,00548865,,,
221320,에이스디지텍,36550,20170630,6,00,0,00221320,,,
124054,부산저축은행,7830,20170630,6,00,0,00124054,,,
301486,에피밸리,68630,20170630,6,00,0,00301486,,,
149248,아세아페이퍼텍,9380,20170630,6,00,0,00149248,,,
311298,오페스,53470,20170630,6,00,0,00311298,,,
348557,액티투오,47710,20170630,6,00,0,00348557,,,
265342,에이치에스씨홀딩스,38920,20170630,6,00,0,00265342,,,
156734,한국고덴시,27840,20170630,6,00,0,00156734,,,
208693,나리지*온,36850,20170630,6,00,0,00208693,,,
128953,프로비타,14420,20170630,6,00,0,00128953,,,
428792,제로원인터랙티브,69470,20170630,6,00,0,00428792,,,
148744,제일화재해상보험,610,20170630,6,00,0,00148744,,,
518873,동북아9호선박투자회사,83120,20170630,6,00,0,00518873,,,
300779,굿이엠지,51530,20170630,6,00,0,00300779,,,
397766,아이드림,66850,20170630,6,00,0,00397766,,,
174305,조인에너지,4820,20170630,6,00,0,00174305,,,
320807,태광이엔시,48140,20170630,6,00,0,00320807,,,
106492,렉스엘이앤지,4790,20170630,6,00,0,00106492,,,
592583,코리아퍼시픽05호선박투자회사,93400,20170630,6,00,0,00592583,,,
275260,엑큐리스,48460,20170630,6,00,0,00275260,,,
183914,우경,25920,20170630,6,00,0,00183914,,,
481676,세미텍,81220,20170630,6,00,0,00481676,,,
104971,그린손해보험,470,20170630,6,00,0,00104971,,,
269773,대양글로벌,40180,20170630,6,00,0,00269773,,,
334767,엔하이테크,46720,20170630,6,00,0,00334767,,,
453752,제너시스템즈,73930,20170630,6,00,0,00453752,,,
140919,엘트온,15050,20170630,6,00,0,00140919,,,
255840,태산엘시디,36210,20170630,6,00,0,00255840,,,
133034,성원건설,12090,20170630,6,00,0,00133034,,,
161028,대우송도개발,4550,20170630,6,00,0,00161028,,,
174475,현대금속,18410,20170630,6,00,0,00174475,,,
251482,트라이써클,34010,20170630,6,00,0,00251482,,,
824659,아이비케이에스스마트에스엠이기업인수목적1호,126680,20170630,6,00,0,00824659,,,
259536,네스테크,37540,20170630,6,00,0,00259536,,,
505198,동북아5호선박투자회사,80980,20170630,6,00,0,00505198,,,
679730,파브코,101990,20170630,6,00,0,00679730,,,
803504,우리기업인수목적1호,122750,20170630,6,00,0,00803504,,,
350118,뉴젠아이씨티,54150,20170630,6,00,0,00350118,,,
352295,인젠,41630,20170630,6,00,0,00352295,,,
240088,지앤에스티,36920,20170630,6,00,0,00240088,,,
356158,영진코퍼레이션,53330,20170630,6,00,0,00356158,,,
560025,코크렙제8호위탁관리부동산투자회사,90540,20170630,6,00,0,00560025,,,
140380,유니온스틸,3640,20170630,6,00,0,00140380,,,
101275,경남모직,1670,20170630,6,00,0,00101275,,,
334493,씨티앤티,50470,20170630,6,00,0,00334493,,,
797674,대우증권그린코리아기업인수목적회사,121910,20170630,6,00,0,00797674,,,
244589,지노시스템,33850,20170630,6,00,0,00244589,,,
802028,한국투자신성장1호기업인수목적회사,123290,20170630,6,00,0,00802028,,,
164292,동원데어리푸드,3900,20170630,6,00,0,00164292,,,
371519,휴먼텍코리아,66060,20170630,6,00,0,00371519,,,
126593,에스에스씨피,71660,20170630,6,00,0,00126593,,,
220181,평산,89480,20170630,6,00,0,00220181,,,
254009,지디코프,36610,20170630,6,00,0,00254009,,,
505541,아시아퍼시픽2호선박투자회사,81190,20170630,6,00,0,00505541,,,
240398,무한투자,34510,20170630,6,00,0,00240398,,,
828309,동부티에스블랙펄기업인수목적,128910,20170630,6,00,0,00828309,,,
349468,블루젬디앤씨,53040,20170630,6,00,0,00349468,,,
808262,부국퓨쳐스타즈기업인수목적,123300,20170630,6,00,0,00808262,,,
252393,예당컴퍼니,49000,20170630,6,00,0,00252393,,,
229818,터보테크,32420,20170630,6,00,0,00229818,,,
154189,케이비물산,8540,20170630,6,00,0,00154189,,,
680161,연합과기공고유한공사,900030,20170630,6,00,0,00680161,,,
102645,글로스텍,12410,20170630,6,00,0,00102645,,,
844884,중국고섬공고유한공사,950070,20170630,6,00,0,00844884,,,
592592,코리아퍼시픽06호선박투자회사,93410,20170630,6,00,0,00592592,,,
268437,나노트로닉스,10670,20170630,6,00,0,00268437,,,
798284,미래에셋제1호기업인수목적,121950,20170630,6,00,0,00798284,,,
164195,에이원마이크로,37380,20170630,6,00,0,00164195,,,
264811,에이프로테크놀로지,45470,20170630,6,00,0,00264811,,,
208301,성우몰드,53440,20170630,6,00,0,00208301,,,
676380,모린스,110310,20170630,6,00,0,00676380,,,
543231,디지텍시스템스,91690,20170630,6,00,0,00543231,,,
103121,세븐코스프,17160,20170630,6,00,0,00103121,,,
122436,배명금속,11800,20170630,6,00,0,00122436,,,
505189,동북아4호선박투자회사,80970,20170630,6,00,0,00505189,,,
271413,사라콤,40020,20170630,6,00,0,00271413,,,
245296,폴리플러스,65610,20170630,6,00,0,00245296,,,
188122,하나물산,36280,20170630,6,00,0,00188122,,,
480905,영찬테크,85990,20170630,6,00,0,00480905,,,
890333,케이비부국제1호개발전문위탁관리부동산투자회사,149130,20170630,6,00,0,00890333,,,
510534,아시아퍼시픽8호선박투자회사,81930,20170630,6,00,0,00510534,,,
150855,진흥저축은행,7200,20170630,6,00,0,00150855,,,
173634,에듀언스,9010,20170630,6,00,0,00173634,,,
830377,성융광전투자유한공사,900150,20170630,6,00,0,00830377,,,
224567,샤인시스템,66300,20170630,6,00,0,00224567,,,
582054,씨모텍,81090,20170630,6,00,0,00582054,,,
125929,에스컴,14900,20170630,6,00,0,00125929,,,
502793,아시아퍼시픽1호선박투자회사,80180,20170630,6,00,0,00502793,,,
505550,아시아퍼시픽3호선박투자회사,81200,20170630,6,00,0,00505550,,,
104704,한국저축은행,25610,20170630,6,00,0,00104704,,,
361035,미리넷,56710,20170630,6,00,0,00361035,,,
630111,3노드디지탈그룹유한공사,900010,20170630,6,00,0,00630111,,,
264802,유일엔시스,38720,20170630,6,00,0,00264802,,,
399773,케이피케미칼,64420,20170630,6,00,0,00399773,,,
257529,이루넷,41030,20170630,6,00,0,00257529,,,
804114,대신증권그로쓰알파기업인수목적,123550,20170630,6,00,0,00804114,,,
416706,유에이블,71530,20170630,6,00,0,00416706,,,
121251,네오퍼플,28090,20170630,6,00,0,00121251,,,
173324,경윤하이드로에너지,19120,20170630,6,00,0,00173324,,,
121729,롯데미도파,4010,20170630,6,00,0,00121729,,,
808226,한화에스브이명장제1호기업인수목적,124050,20170630,6,00,0,00808226,,,
162577,셀텍,19260,20170630,6,00,0,00162577,,,
812229,에스비아이앤솔로몬드림기업인수목적,123910,20170630,6,00,0,00812229,,,
351153,위다스,56810,20170630,6,00,0,00351153,,,
126885,에스와이코퍼레이션,8080,20170630,6,00,0,00126885,,,
264741,어울림네트웍스,42820,20170630,6,00,0,00264741,,,
